text,original_label,label_name,checked_label,comment;;;;;;;;;;;;
"Ford dumps \$200m Oracle system Ford has ditched Oracle #39;s online purchasing system eVEREST, because of flaws in the software. The car manufacturer has reportedly spent more than \$200m trying to get the system to work since it bought it in 2000. ,2,Business,2.0,";;;;;;;;;;;;
"Relaxed Buildup For Carter A relaxed buildup, out of the spotlight, has been the key to Hamish Carter #39;s Olympic success. Carter led home a New Zealand gold and silver finish in the men #39;s triathlon on Thursday night, beating home teammate Bevan Docherty.,1,Sports,1.0,";;;;;;;;;;;;
Schilling focused on 20th SEATTLE -- So, Curt Schilling , what do you do after you reach the threshold of your third 20-win season in four years and your first for the Red Sox, who signed you out of junior college 18 years earlier?,1,Sports,1.0,;;;;;;;;;;;;
Polish hostage in Iraq pleads for life-Video The Polish woman held hostage in Iraq appeared in a new video, aired on Al-Jazeera satellite channel, pleading her nation to withdraw troops from the country and the release of women prisoners to save her life.,0,World,0.0,;;;;;;;;;;;;
"Foreign retailers #39; enclosure of land competition in China It is reported that another  quot;Champion Supermarket quot; of French retailer Carrefour will open soon in Guangming Village, Haidian District in Beijing.,2,Business,2.0,";;;;;;;;;;;;
Broadcom LAN Boosts Wi-Fi Range Broadcom has rolled out a line of local area network (LAN) chipsets it says can boost the range of existing Wi-Fi networks by as much as 50 percent.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Dollar melts but Snow stays firm The dollar plunged to an all-time low against the euro yesterday as the Bush administration signalled it was not prepared to take any action to prevent the slide.,2,Business,0.0,;;;;;;;;;;;;
Dutch to Withdraw Troops from Iraq in March  AMSTERDAM (Reuters) - The Dutch cabinet has decided to  bring home the 1,350 Dutch troops in Iraq in March next year,  confirming a decision first made in June, the Dutch news agency  ANP cited Defense Minister Henk Kamp as saying on Friday.,0,World,0.0,;;;;;;;;;;;;
IBM reportedly puts PC business on the market IBM, whose first PC in 1981 moved personal computing out of the hobby shop and into the corporate and consumer mainstream, has put the business up for sale, people close to the negotiations said Thursday.,2,Business,2.0,;;;;;;;;;;;;
Red Hat hit by security-update email scam Red Hat is warning users that an email purporting to be a security update may contain malicious code. The email - which began appearing last Friday - uses a securityredhat ,3,Sci/Tech,3.0,;;;;;;;;;;;;
"Nortel Expects Lower 3rd-Quarter Revenue  TORONTO (Reuters) - Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.TO target=/stocks/quickinfo/fullquote""&gt;NT.TO&lt;/A&gt; said it  expects to report lower third-quarter revenues compared to the  second quarter, North America's largest maker of telecom  equipment said in a regulator required market update on  Thursday.,2,Business,2.0,";;;;;;;;;;;;
"Corzine Announces Bid to Be N.J. Governor (AP) AP - Four years after spending more than  #36;60 million of his own money to get elected to the Senate, Democrat Jon S. Corzine announced Thursday that he is running for governor in 2005.,0,World,0.0,";;;;;;;;;;;;
Afghan UN Kidnappers Await Release of 26 Taliban (Reuters) Reuters - Kidnappers of three U.N. workers in\Afghanistan said on Thursday they expect the government to\release 26 Taliban prisoners in exchange for their hostages\before the Muslim Eid festival this weekend.,0,World,0.0,;;;;;;;;;;;;
Republican Convention Opens as Delegates Adopt Platform Republicans are preparing to offer President Bush to the voters based in large measure on his response to 9/11.,0,World,0.0,;;;;;;;;;;;;
"SEC Won #39;t Punish Global Crossing Founder US regulators have decided against filing civil charges against Global Crossing Ltd. (GLBC.O: Quote, Profile, Research) founder Gary Winnick following a probe of its accounting practices, his attorney said on Monday.,2,Business,0.0,";;;;;;;;;;;;
"This week's schedule TODAY'S GAMES Division 1 BIG THREE -- Brockton at Durfee, 7. GREATER BOSTON -- Arlington at Everett, 7; Cambridge at Peabody, 7; Somerville at Revere, 7.,1,Sports,1.0,";;;;;;;;;;;;
Agent says Tigers didn #39;t make \$40-million offer Free agent Carl Pavano ended his visit to Detroit on Friday and left town accompanied by a report that the Tigers have offered the right-hander a four-year contract for \$40 million.,1,Sports,1.0,;;;;;;;;;;;
"Anthem-WellPoint deal OKd Insurance Commissioner John Garamendi dropped his objection to Anthem Inc. #39;s purchase of WellPoint Health Networks Inc. after the companies agreed to spend \$265 million, more than double their previous commitment ,2,Business,2.0,";;;;;;;;;;;;
Arise Sir Mark  mum pays FORMER prime minister and doting mother Margaret Thatcher yesterday agreed to bail her son, Sir Mark Thatcher, out of house arrest in Cape Town.,0,World,0.0,;;;;;;;;;;;;
"Talk Is Cheap Using Internet Long-Distance (AP) AP - Jorge Chavez, sitting in his office on a used car lot in Hollywood, picks up the phone and dials his sister in Peru. Nothing unusual about that  #151; except that the call went out over the Internet, sounded as clear as if he had been calling Fort Lauderdale, and cost just a few pennies.,3,Sci/Tech,3.0,";;;;;;;;;;;;
Toll Brothers Profit Nearly Doubles  NEW YORK (Reuters) - Toll Brothers Inc. reported on  Thursday quarterly earnings that nearly doubled, buoyed by  growing demand for its luxury homes, and the company raised its  forecast for 2005.,2,Business,2.0,;;;;;;;;;;;;
ALPA vote expected this week The Air Line Pilots Association expects to have a decision by early Thursday regarding a \$300 million wage and benefit concession agreement affecting its US Airways pilots, according to a union spokesman.,2,Business,0.0,;;;;;;;;;;;;
Rockets down Clippers 91-86 in OT Tracy McGrady scored 32 points to lead visiting Houston Rockets beating the Los Angeles Clippers 91-86 in overtime. It is the Rockets seventh straight win over the Clippers, and ,1,Sports,1.0,;;;;;;;;;;;;
Iraq to Try Saddam Aides in Election Run-Up  BAGHDAD (Reuters) - Iraq will put some of Saddam Hussein's  top lieutenants on trial next week, a month before a national  election many hope will lay the ghosts of his rule, interim  Prime Minister Iyad Allawi said Tuesday.,0,World,0.0,;;;;;;;;;;;;
Kurdish Rebels Using European Bases (AP) AP - The recent Dutch raid against a suspected military training camp used by Turkish Kurdish rebels is the largest crackdown against the group in Europe, which has become a base for autonomy-seeking militants to collect money, recruit and train, authorities say.,0,World,0.0,;;;;;;;;;;;;
"Update 1: Advance America Leads Busy Day for IPOs Check-cashing service Advance America Cash Advance Centers Inc. gained as much as 37 percent in its initial public offering Thursday, leading moderate advances for all but one of the day #39;s seven deals.,2,Business,2.0,";;;;;;;;;;;;
Winning Paramount to New Notre Dame Coach (AP) AP - Charlie Weis promises to give Notre Dame an arrogant attitude and turn the Fighting Irish into an intelligent, hard-working, nasty football team.,1,Sports,1.0,;;;;;;;;;;;;
On the Horizon: The Global Wireless Web (NewsFactor) NewsFactor - Verizon recently announced plans to roll out its new wireless BroadbandAccess service in 14 American cities, with more to follow.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Linux supercomputers used for DOD war simulations The Pentagon is using two 256-processor Linux Networx Evolocity cluster supercomputers to conduct various disaster simulations.,3,Sci/Tech,3.0,;;;;;;;;;;;;
New cabinet fails to squelch power-struggle talk (AFP) AFP - Prime Minister Tony Blair huddled with his cabinet after a reshuffle that reinforced his grip on the Labour Party, at least for the time being, ahead of an expected general election.,0,World,0.0,;;;;;;;;;;;;
"Talks Resume Between Airline, Pilots The Air Line Pilots Association says the pilots #39; negotiating committee met with management Sunday, a week after talks broke down.,2,Business,0.0,";;;;;;;;;;;;
Small firms struggle as oil soars Small manufacturers in the UK are struggling in the face of soaring oil prices and higher interest rates, the CBI says.,2,Business,0.0,;;;;;;;;;;;;
"Nigeria military orders halt to delta patrols The Nigerian military on Friday ordered a halt to patrols around the Niger Delta to underscore the government #39;s commitment to a truce agreed with militants, a senior oil industry source said.,0,World,0.0,";;;;;;;;;;;;
Preparing for Playoffs Top drivers like Matt Kenseth have saved many of their alloted testing sessions for NASCAR's new season-ending 10-race playoffs.,1,Sports,1.0,;;;;;;;;;;;;
Crunch time next in store for Schilling TORONTO -- The next time Curt Schilling takes the ball for the Red Sox, it will be on the cusp of September, in the opener of a Fenway Park series next Tuesday against the Anaheim Angels, a team as hot as the Sox in August and one as bent as playing in October as the Olde Towne Team.,1,Sports,1.0,;;;;;;;;;;;;
"Kremlin Spins Putin #39;s Proposed Plans Following broad criticism that President Vladimir Putin is exploiting the Beslan school massacre to enhance his powers, the Kremlin mobilized a number of surrogate spokespeople ,0,World,0.0,";;;;;;;;;;;;
"Yankees #39; victory demonstrates Jeter #39;s value NEW YORK - Joe Torre does not bother to look for the look, not anymore. In the immediate wake of a traumatic baseball experience, Torre might need his green tea, his turn on the exercise bike, his time with family and friends.,1,Sports,1.0,";;;;;;;;;;;;
"SAP benefits from Europe bounce Business software maker SAP, which employs 450 people in Dublin and Galway, has said that a strong performance in its European activities helped boost earnings in the third quarter, which came out higher than analysts #39; expectations.,2,Business,3.0,";;;;;;;;;;;;
Google Challenges Amazon with Book Search Google Challenges Amazon with Book Search Google has quietly launched a new book search service which is predicted to rival Google publishing partner and Internet book retailer Amazon.com. Accoding to a Rueters report Google founders Larry Page and Sergey Brin will be holding a press conference on Thursday to demonstrate the.,3,Sci/Tech,2.0,;;;;;;;;;;;;
Russian Cargo Craft Docks at Space Station (AP) AP - A Russian cargo ship docked with the international space station Saturday, bringing food, water, fuel and other items to the two-man Russian-American crew, a space official said.,3,Sci/Tech,0.0,;;;;;;;;;;;;
Cuban dissident freed, recounts grueling ordeal Cuban authorities on Tuesday released Ral Rivero, a dissident poet and journalist who spent 20 months and 6 days behind bars for conspiring with the US government to overthrow President Fidel Castro.,0,World,0.0,;;;;;;;;;;;;
Raptors Rally From 20 Down to Beat Spurs (AP) AP - Lamond Murray scored all 13 of his points in the fourth quarter, helping the Toronto Raptors overcome a 20-point deficit in the second half to beat the San Antonio Spurs 96-91 Sunday.,1,Sports,1.0,;;;;;;;;;;;;
"Corning #39;s Crystal-Clear Future the world leader in production of the ultra-thin glass used by companies such as LG Philips LCD (NYSE: LPL), Sony (NYSE: SNE), Hitachi (NYSE ,3,Sci/Tech,3.0,";;;;;;;;;;;;
"Use Linux and you &lt;cite&gt;will&lt;/cite&gt; be sued, Ballmer tells governments Lawsuit doom over 228 'stolen' patents predicted,3,Sci/Tech,3.0,";;;;;;;;;;;;
Palestinian leaders visit dying Arafat TOP Palestinian politicians are to visit Yasser Arafat in hospital and consult doctors about his condition amid claims that the veteran leader has suffered liver failure.,0,World,0.0,;;;;;;;;;;;;
Gimme some skin! Sure, the Nintendo DS portable game machine is a technical wonder, with its super-sensitive touch screen, built-in wireless capability and,3,Sci/Tech,3.0,;;;;;;;;;;;;
Mateschitz wants Coulthard Red Bull owner Dietrich Mateschitz has thrown his support behind David Coulthard gaining a seat in his team in 2005. The former McLaren driver has impressed in testing and while Mateschitz, the man behind ,1,Sports,1.0,;;;;;;;;;;;;
Oil Prices Hover Just Below \$50 a Barrel US oil prices hovered just below \$50 a barrel on Tuesday, holding recent gains on a rash of crude supply outages and fears over thin heating oil tanks.,2,Business,0.0,;;;;;;;;;;;;
Ivorian exile's gardener killed An employee of Ivory Coast opposition leader Alassane Ouattara is found dead in suspicious circumstances.,0,World,0.0,;;;;;;;;;;;;
Nationals Unveil Logos, Colors The Montreal Expos would be renamed the Washington Nationals if the proposed move of the franchise is approved by baseball owners.,1,Sports,1.0,;;;;;;;;;;;;
"Cemex Buys 18.8 Percent Stake in RMC  LONDON (Reuters) - Mexican cement company Cemex said on  Monday it had spent about 432 million pounds (\$780 million)  buying an 18.8 percent stake in RMC Group &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RMC.L target=/stocks/quickinfo/fullquote""&gt;RMC.L&lt;/A&gt; as part of  its planned takeover of its British rival.,2,Business,2.0,";;;;;;;;;;;;
Inflation in Check, Bond Prices Rise Briskly Thursday's bond price rally followed a government report that showed that inflation was well restrained in August.,2,Business,0.0,;;;;;;;;;;;;
Judge halts patent suits against Columbia A federal judge in Boston dismissed patent claims filed by large biotechnology companies against Columbia University that alleged the New York school was improperly trying to extend its rights to a process widely used to engineer new drugs.,2,Business,0.0,;;;;;;;;;;;;
"140 still trapped in mine in China blast; 25 dead BEIJING - More than 140 miners remained trapped in the tunnels and shafts of a coal mine in central China after an explosion Sunday that killed 25 of their colleagues, the government said.,0,World,0.0,";;;;;;;;;;;;
Groton soldier killed in blasts in Iraqi capital A 40-year-old soldier from Groton died yesterday in an explosion in Iraq, apparently while delivering candy to Iraqi children during a government-sponsored celebration to inaugurate a sewage plant in Baghdad, according to family and news reports. The apparent car bombs reportedly left about 35 children dead. Army Staff Sergeant Darren Cunningham, a father of two, had been serving in Iraq ...,0,World,0.0,;;;;;;;;;;;;
Cocoa Drops, Metals Jump on Weak Dollar  NEW YORK (Reuters) - Cocoa prices sank on Wednesday as  exporters in top-grower Ivory Coast kept up with the arrival of  the new crop, which was halted several times this month by an  outbreak of civil violence and a farmers strike.,2,Business,0.0,;;;;;;;;;;;;
U.S. Filing Complaint on Airbus Subsidies U.S. trade authorities said Wednesday they will file a complaint against the European Union to the World Trade Organization, contesting what they regard as billions of dollars in unfair subsidies provided to aircraft company Airbus by European governments.,2,Business,0.0,;;;;;;;;;;;;
"NASA Says Shuttle Is On Track for May Flight NASA engineers said yesterday that plans to send the space shuttle aloft next May appear to be proceeding smoothly, but designers acknowledged  quot;setbacks quot; in devising onboard techniques to ,3,Sci/Tech,3.0,";;;;;;;;;;;;
UPDATE 1-Centurion Youhana sets up Pakistan victory Yousuf Youhana top-scored with an unbeaten 107 to guide Pakistan to an eight-wicket victory over Sri Lanka and into the final of a three-nation one-day tournament on Wednesday.,1,Sports,1.0,;;;;;;;;;;;;
Pierce Is Rare Mix Redskins linebacker Antonio Pierce was impressive during Sunday's 16-10 win. But just as significant was the leadership and intelligence he exhibited leading up to the game.,1,Sports,1.0,;;;;;;;;;;;;
Bonneville adds three radio stations in Phoenix Salt Lake City-based Bonneville International Corp. has acquired three radio stations in Phoenix in a trade for a Chicago rock station and cash.,2,Business,2.0,;;;;;;;;;;;;
It #39;s smartin #39; Martin ONeill in denial over red cards as Rangers close the gap in title race. THERE was a first Old Firm Premierleague win in almost two years for Rangers at Ibrox yesterday; a 2-0 victory that ended a run of ,1,Sports,1.0,;;;;;;;;;
Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to find motivation in strange places, especially when they are far out of the playoff race.,1,Sports,1.0,;;;;;;;;;;;;
NetSky variant tops virus list again LYNNFIELD, Mass., Nov. 1 - NetSky-P and Zafi-B were the top two viruses in circulation in October, security company Sophos says in its monthly top-10 viruses and hoaxes lists.,3,Sci/Tech,0.0,;;;;;;;;;;;;
Newcastle give Souness winning league start at Saints Newcastle United marked their first Premier League match under Graeme Souness with a 2-1 win at Southampton thanks to 20-metre winner from right back Stephen Carr on Sunday.,1,Sports,1.0,;;;;;;;;;;;;
Irish Help European Team at Ryder Cup (AP) AP - The Americans have the big names. The Europeans have the luck of the Irish.,1,Sports,1.0,;;;;;;;;;;;;
"AL roundup: Royals #39; 26 runs good only for split After being on the wrong end of several records in a 26-5 loss to the visiting Kansas City Royals, the Detroit Tigers went out and won 8-0 in the second game of the doubleheader.,1,Sports,1.0,";;;;;;;;;;;;
FCC seeks power over VOIP Federal Communications Commission officials want to regulate voice-over-IP services, FCC chairman Michael Powell said. In an Oct. 19 speech in Boston, Powell praised voice-over-IP innovators and argued his case for federal oversight of the technology.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Entertainment part of Paralympics closing ceremony canceled &lt;b&gt;...&lt;/b&gt; The Athens 2004 Organizing Committee (ATHOC) has decided to cancel the planned entertainment part of the closing ceremony due a traffic accident which killed at least seven people early Monday morning.,1,Sports,1.0,;;;;;;;;
Thai Spokesman: Myanmar PM Forced to Quit BANGKOK, Thailand - Myanmar's secretive military regime has forced out its prime minister, the long-powerful Gen. Khin Nyunt, and placed him under house arrest on corruption charges, a government spokesman in neighboring Thailand said Tuesday...,0,World,0.0,;;;;;;;;;;;;
UBS Buys Schwab Unit for \$265 Mln  GENEVA/NEW YORK (Reuters) - Swiss-based banking giant UBS  AG has agreed to buy Charles Schwab Corp.'s capital markets  unit for \$265 million in cash, making UBS a leading player on  the U.S. Nasdaq exchange, the companies said on Tuesday.,2,Business,2.0,;;;;;;;;;;;;
Consumers Perk Up, So Do Wholesale Prices  CHICAGO (Reuters) - U.S. consumers cheered up in early  December, sending potentially good news to retailers during the  crucial holiday shopping season, a report showed on Friday.,2,Business,0.0,;;;;;;;;;;;;
Sources: Sony Eyes File-Sharing Venture Sony BMG Music Entertainment and online peer-to-peer software distributor Grokster are working on a new venture that is expected to offer paid and free song downloads over the Internet, sources say.,3,Sci/Tech,2.0,;;;;;;;;;;;;
"Spain Plays Down Canary I. Locust Threat (AP) AP - An estimated 100 million locusts swarmed one of the Canary Islands Tuesday, but the crop-ravaging insects  #151; many with only a week to live  #151; posed little threat, arriving with missing wings and broken legs after their 60-mile flight from the African mainland.,3,Sci/Tech,0.0,";;;;;;;;;;;;
"Violence exposes Shi #39;ite divisions Iraqi security forces fired on demonstrators loyal to rebel cleric Moqtada al-Sadr in the Iraqi capital yesterday, killing two in a clash ,0,World,0.0,";;;;;;;;;;;;
"Mutu Banned Seven Months by English FA for Taking Cocaine Adrian Mutu, fired by Chelsea last week after failing a doping test for cocaine, was banned for seven months and fined 20,000 pounds (\$36,800) by England #39;s Football Association.,1,Sports,1.0,";;;;;;;;;;;;
U.N.: Palestinian Economy Grew 4.5 Pct (AP) AP - Three of every four Palestinians live in poverty and their economy still depends on donors, despite 4.5 percent economic growth last year, the United Nations said on Wednesday.,0,World,0.0,;;;;;;;;;;;;
"GM to Boost Incentives in 'Red Tag' Sale  DETROIT (Reuters) - General Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt;, coming off  two straight months of disappointing sales, told dealers on  Tuesday it will launch new U.S. sales incentives later this  week.,2,Business,2.0,";;;;;;;;;;;;
Savings in bankruptcy at issue at court The US Supreme Court considered yesterday how much retirement savings people can shield when they file for bankruptcy, an important question as more Americans go into debt.,2,Business,0.0,;;;;;;;;;;;;
Cell Phones Double as Credit Cards Motorola will test handsets that include wireless payment functions.,3,Sci/Tech,3.0,;;;;;;;;;;;;
US to ease loan goals for Fannie, Freddie - WSJ The US Department of Housing and Urban Development (HUD) will propose an easing of rules that will require Fannie Mae (FNM.N: Quote, Profile, Research) and Freddie Mac (FRE.,2,Business,0.0,;;;;;;;;;;;;
WADA Chief: Marion Jones Could be Turning Point in Effort to Rid &lt;b&gt;...&lt;/b&gt; The chief of the World Anti-Doping Agency says drug allegations surrounding US Olympic sprint champion Marion Jones could become a turning point in efforts to rid sports of drugs.,1,Sports,1.0,;;;;;;;;
Hezbollah Releases Drone Aircraft Footage (AP) AP - Hezbollah on Monday released footage of an drone aircraft it had sent into Israeli airspace a day earlier, a flight which the United Nations said violated the U.N.-drawn border between Lebanon and Israel.,0,World,0.0,;;;;;;;;;;;;
Google shares go crazy (SiliconValley.com) SiliconValley.com - The price of Google shares soared Friday, evoking memories of the Internet bubble among some Wall street analysts and traders.,3,Sci/Tech,2.0,;;;;;;;;;;;;
Sven #39;s men shape up their Owen way DON #39;T think the Sven-Goran Eriksson formation team will keep performing the quickstep despite their cavalier style against Azerbaijan.,1,Sports,1.0,;;;;;;;;;;
"Any Command Line Interface Tricks? \\The other day I was thinking about all the edge-cases within Linux and how there\are hundreds of little commands and tricks.  I these know now but only after\using UNIX for more than 15 years now (has it been that long!).  I wish I would\have known all these tricks when I was just getting started.\\This is similar to Danny O'Briens Life Hacks  but since so many of us spend\our life tied to our shell these are essentially ""Shell Hacks"".\,3,Sci/Tech,3.0,";;;;;;;;;;;;
UPDATE 2-US mortgage applications rise in latest week-MBA Overall applications for US home loans rose last week, spurred by a rise in mortgage refinancings, as 30-year mortgage rates eased to their lowest since early April, an industry group said on Wednesday.,2,Business,0.0,;;;;;;;;;;;;
Hedge Fund Is Censured and Ordered to Pay Taxes A federal judge ruled Friday against Long-Term Capital Management, finding that the fund acted in bad faith when it took \$106 million in tax deductions.,2,Business,2.0,;;;;;;;;;;;;
Spokane diocese files for bankruptcy By becoming only the third diocese nationally to seek shelter in bankruptcy court, the Roman Catholic Diocese of Spokane is hoping the court will help provide a clearer picture of its financial liability in mounting sex-abuse lawsuits and goad its ,2,Business,0.0,;;;;;;;;;;;;
Taliban Warns of More Attacks as Kabul Toll Rises  KABUL (Reuters) - The Taliban warned on Monday of further  deadly attacks in the run-up to Afghanistan's first  presidential election after a car bomb in the heart of the  capital killed up to a dozen people.,0,World,0.0,;;;;;;;;;;;;
Chargers Go for Rare 10-Win Season (AP) AP - Although the resurgent San Diego Chargers can't clinch a playoff berth Sunday, they can continue to rehabilitate their image. Sad sacks just a year ago, the Chargers (9-3) have at least clinched a winning season. If they beat the Tampa Bay Buccaneers (5-7) at home, they'll have won 10 games for the first time since 1994, when they were 11-5 and made their only Super Bowl appearance.,1,Sports,1.0,;;;;;;;;;;;;
Broad Use of Harsh Tactics Is Described at Cuba Base Many detainees at Guantnamo Bay were regularly subjected to harsh and coercive treatment, several people who worked in the prison said in recent interviews.,0,World,0.0,;;;;;;;;;;;;
"Berkshire Hathaway Greenspan basically has stopped the movie projector and pushed the button that says, ""reverse."",2,Business,0.0,";;;;;;;;;;;;
New Treo and more unveiled at CTIA CTIA stands for the Cellular Telecommunications and Internet Association. Each year they host two shows for the industry. This week is their fall Wireless IT and Entertainment expo in San Francisco.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Rafique and Mortaza strike, but India pass 400 Mohammad Rafique and Mashrafe Mortaza shared five wickets as India reached 7 for 413 at lunch on day two of the second and final Test in Chittagong.,1,Sports,1.0,;;;;;;;;;;;;
IAEA chief arrives in South Korea amid concerns over nuclear &lt;b&gt;...&lt;/b&gt; The head of the International Atomic Energy Agency arrived in South Korea on Sunday amid concerns over the country #39;s past nuclear experiments.,0,World,0.0,;;;;;;;
"Ravens #39; Secondary To Get First-Rate Test So much of the Baltimore Ravens #39; identity is built around their swaggering defense, and their pride in not allowing 100-yard rushers and not giving up big plays.,1,Sports,1.0,";;;;;;;;;;;;
Microsoft Sets Licensing Policy for New Chips (Reuters) Reuters - Microsoft Corp.  on\Tuesday agreed to require only a single license for server\software that runs on computers powered by a new generation of\chips that squeeze multiple processors into a single package.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Venus: Inhabited World? by Harry Bortman    In part 1 of this interview with Astrobiology Magazine editor Henry Bortman, planetary scientist David Grinspoon explained how Venus evolved from a wet planet similar to Earth to the scorching hot, dried-out furnace of today. In part 2, Grinspoon discusses the possibility of life on Venus...,3,Sci/Tech,3.0,;;;;;;;;;;;;
"Dell Contemplates AMD Chip Offerings Since its release in early 2003, AMD #39;s Opteron server CPU has made great inroads almost everywhere... except with Dell. The CEO of Dell, Kevin Rollins, says that may very well be about to change, as the company ,3,Sci/Tech,3.0,";;;;;;;;;;;;
Hong Kong chokes under thick smog \Hong Kong's government warns people with heart and respiratory problems to stay in as smog chokes the territory.,0,World,0.0,;;;;;;;;;;;;
Different Team, Different Weaver In one year, Jeff Weaver has gone from being unwanted by the Yankees to being desperately needed by the Los Angeles Dodgers.,1,Sports,1.0,;;;;;;;;;;;;
Carroll leads Aussie swim charge By the AAP. Olympic finalist Lara Carroll is the fastest qualifier for the 200 metres individual medley final on day four of the world short course swimming championships at Indianapolis.,1,Sports,1.0,;;;;;;;;;;;;
Roddick Continues to Show His Dominance t has been an uninspiring United States Open for the American men, who fell apart with remarkable alacrity in the first week of the tournament.,1,Sports,1.0,;;;;;;;;;;;;
